epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,10370.2,0.77668,0.53204,1.0811,0.92141,0.91875,0.92227,0.76381,0.64646,0.58558,1.11892,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10587.3,0.77438,0.53206,1.08208,0.92841,0.91666,0.92237,0.76429,0.64619,0.58713,1.12047,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10804.5,0.77187,0.52464,1.07772,0.91857,0.92213,0.92459,0.76451,0.6464,0.59515,1.11958,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11021.8,0.77418,0.52658,1.08049,0.92284,0.91894,0.92455,0.76211,0.64704,0.59779,1.11924,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11238.6,0.7688,0.5211,1.07739,0.92648,0.91456,0.92355,0.76279,0.64705,0.5992,1.11995,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11456.1,0.76736,0.52121,1.07444,0.92633,0.91647,0.92398,0.76299,0.64618,0.60044,1.1198,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11673.3,0.76468,0.52186,1.07446,0.92275,0.91948,0.92379,0.7636,0.64659,0.60156,1.12066,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11891,0.76207,0.51643,1.07284,0.92681,0.91861,0.92329,0.76555,0.64678,0.60335,1.12016,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12108.2,0.75749,0.51035,1.0697,0.93006,0.91543,0.92301,0.76482,0.64671,0.60757,1.12085,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12326.6,0.7595,0.51378,1.07135,0.93114,0.91551,0.92333,0.76491,0.6468,0.60606,1.12233,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,12543.7,0.75421,0.51188,1.06938,0.93101,0.91867,0.92363,0.76391,0.64635,0.60661,1.123,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12762,0.7575,0.51189,1.07043,0.92741,0.91964,0.92293,0.76224,0.64608,0.60709,1.12385,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12979.8,0.75111,0.50818,1.06545,0.92848,0.91645,0.92201,0.76184,0.64631,0.61171,1.12497,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13197.3,0.7497,0.50264,1.06642,0.929,0.91636,0.92233,0.76265,0.64757,0.61204,1.12669,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
